Monday_item_id,Name,Firm,Monday_Domain,Resolved_Website,Domain_verdict,Status,Email,Email_type,Source_URL,Evidence_URLs,Notes,Method
13028372613,Alistair Langer,783 Capital Partners,783capital.com,https://www.783partners.com/,PARKED_WRONG_ENTITY,EMPTY,,,https://www.783partners.com/team,https://783capital.com/ | https://www.783partners.com/team | https://www.783partners.com/contact,783capital.com is GoDaddy parked/for-sale (not 783 Capital Partners). Firm site lists Alistair Langer as Founding Partner; info@783partners.com generic only — no person mailto. Do not crawl 783capital.com.,domain_resolve+firm_about
13028370676,Asia Agnelli,Trail Mix Ventures (TMV),tmv.com,https://www.tmv.vc/,LEGACY_ALIAS,EMPTY,,,https://www.tmv.vc/team/azzi-agnelli,https://www.tmv.com/ | https://www.tmv.vc/ | https://www.tmv.vc/team/azzi-agnelli,Monday tmv.com is legacy TMVi WordPress site. Live VC firm is TMV at tmv.vc; seat aligns with Azzi Agnelli profile (board name Asia). Team page lists team@tmv.vc generic only — no Asia/Azzi person mailto.,domain_resolve+firm_team
13028359182,Dennis Zaidi,Checkmate Capital,checkmatecap.com,https://www.checkmatecapital.net/,PARKED,EMPTY,,,https://www.checkmatecapital.net/,https://checkmatecap.com/ | https://www.checkmatecapital.net/,checkmatecap.com returns minimal parked placeholder (~114 bytes). Operating Checkmate Capital site is checkmatecapital.net (contact form; no Dennis Zaidi mailto).,domain_resolve+firm_home
13028371748,Fernando Lelo de Larrea H,Rumbo Ventures,rumbo.vc,https://rumbo.ventures/,NON_RESOLVING,EMPTY,,,https://rumbo.ventures/team/,https://rumbo.vc/ | https://rumbo.ventures/ | https://rumbo.ventures/fernandolelo/,rumbo.vc does not resolve. Live firm site rumbo.ventures lists Fernando Lelo; hola@rumbo.ventures generic — no person mailto on profile.,domain_resolve+firm_team
13028371858,Franck Nouyrigat,Electis,electis.io,https://www.electis.com/,OK_REDIRECT,EMPTY,,,https://www.electis.com/en/team,https://electis.io/ | https://www.electis.com/en/team | https://www.hlm.coop/sites/default/files/2026-01/Elections%202026%20-%20Sourcing.pdf,electis.io 301→electis.com (canonical). Team lists Franck Nouyrigat without email. hlm.coop PDF emails are other Electis staff — not stamped for this seat.,domain_resolve+firm_team
13100506409,George Chalmers,Molten Ventures,moltenventures.com,https://www.moltenventures.com/,OK,EMPTY,,,https://www.moltenventures.com/people/platform-team/george-chalmers,https://www.moltenventures.com/people/platform-team/george-chalmers | https://www.moltenventures.com/press,Monday domain matches live firm. People page confirms George Chalmers; no personal mailto. Press/IR use comms@molten.vc and ir@molten.vc (generic).,domain_resolve+firm_team
13100506451,Ingo Ramesohl,Robert Bosch Venture Capital (RBVC),bosch.ventures,https://www.bosch.ventures/,OK,EMPTY,,,https://www.bosch.ventures/team/,https://www.bosch.ventures/team/ | https://www.rbvc.com/legal/,Live bosch.ventures team lists Dr. Ingo Ramesohl; no personal emails. rbvc.com/legal names role + phone only. Info.RBVC@de.bosch.com is generic pitch inbox — not person-attributed.,domain_resolve+firm_team
13028366289,Jean-Marc Champagne,Seneca Impact,senecaimpact.com,https://senecaimpact.earth/,LEGACY_ALIAS,EMPTY,,,https://senecaimpact.earth/team/jean-marc-champagne/,https://senecaimpact.com/ | https://senecaimpact.earth/about-us/the-team/ | https://senecaimpact.earth/contact/,senecaimpact.com unreachable in prior crawl; operating site senecaimpact.earth lists Jean-Marc Champagne. impact@senecaimpact.earth generic — no person mailto.,domain_resolve+firm_team
13100503497,Juan Franck,SoftBank Latin America Funds,softbank.com,https://www.latinamericafund.com/,WRONG_ENTITY_ROOT,EMPTY,,,https://www.latinamericafund.com/,https://www.softbank.com/en/capital/portfolio | https://www.latinamericafund.com/ | https://www.latinamericafund.com/team/ | https://www.payclip.com/team/juan-franck,Juan Franck is Managing Partner of SoftBank Latin America Funds — dedicated site latinamericafund.com (not softbank.com corporate). No Juan Franck + personal @ on public fund pages; board bios (e.g. Clip) LinkedIn-only for contact.,domain_resolve+press_about
13114435457,Lucas de la Vega,Actyus,actyus.com,https://actyus.com/,OK,EMPTY,,,https://actyus.com/en/team/,https://actyus.com/en/team/ | https://actyus.com/en/contact/,Live actyus.com team lists Lucas de la Vega (LinkedIn only). atencioncliente@actyus.com generic — no person mailto.,domain_resolve+firm_team
